index,date,BMS_MODE,BMS_ERROR,AIR_P,AIR_N,1,2,3,4
0,1762969984825,1,0,1,1,0,0,0,0
1,1762969985691,1,0,1,1,0,0,0,0
2,1762969986592,1,0,1,1,0,0,0,0
3,1762969987540,1,0,1,1,0,0,0,0
4,1762969988090,1,0,1,1,0,0,0,0
5,1762969989022,1,0,1,1,0,0,0,0
6,1762969989339,1,0,1,1,0,0,0,0
7,1762969989938,1,0,1,1,0,0,0,0
8,1762969990222,1,0,1,1,0,0,0,0
9,1762969990721,1,0,1,1,0,0,0,0
10,1762969991622,1,0,1,1,0,0,0,0
11,1762969992105,1,0,1,1,0,0,0,0
12,1762969992536,1,0,1,1,0,0,0,0
13,1762969993486,1,0,1,1,0,0,0,0
14,1762969993901,1,0,1,1,0,0,0,0
15,1762969994336,1,0,1,1,0,0,0,0
16,1762969994869,1,0,1,1,0,0,0,0
17,1762969995702,1,0,1,1,0,0,0,0
18,1762969996616,1,0,1,1,0,0,0,0
19,1762969997099,1,0,1,1,0,0,0,0
20,1762969997517,1,0,1,1,0,0,0,0
21,1762969998447,1,0,1,1,0,0,0,0
22,1762969998965,1,0,1,1,0,0,0,0
23,1762969999464,1,0,1,1,0,0,0,0
24,1762969999865,1,0,1,1,0,0,0,0
25,1762970000248,1,0,1,1,0,0,0,0
26,1762970000698,1,0,1,1,0,0,0,0
27,1762970002530,1,0,1,1,0,0,0,0
28,1762970003046,1,0,1,1,0,0,0,0
29,1762970003447,1,0,1,1,0,0,0,0
30,1762970004395,1,0,1,1,0,0,0,0
31,1762970005743,1,0,1,1,0,0,0,0
32,1762970006211,1,0,1,1,0,0,0,0
33,1762970006627,1,0,1,1,0,0,0,0
34,1762970007575,1,0,1,1,0,0,0,0
35,1762970008474,1,0,1,1,0,0,0,0
36,1762970008991,1,0,1,1,0,0,0,0
37,1762970009375,1,0,1,1,0,0,0,0
38,1762970009940,1,0,1,1,0,0,0,0
39,1762970010339,1,0,1,1,0,0,0,0
40,1762970010740,1,0,1,1,0,0,0,0
41,1762970011305,1,0,1,1,0,0,0,0
42,1762970012170,1,0,1,1,0,0,0,0
43,1762970012554,1,0,1,1,0,0,0,0
44,1762970013171,1,0,1,1,0,0,0,0
45,1762970013504,1,0,1,1,0,0,0,0
46,1762970014002,1,0,1,1,0,0,0,0
47,1762970014420,1,0,1,1,0,0,0,0
48,1762970014919,1,0,1,1,0,0,0,0
49,1762970015751,1,0,1,1,0,0,0,0
50,1762970016201,1,0,1,1,0,0,0,0
51,1762970016668,1,0,1,1,0,0,0,0
52,1762970017285,1,0,1,1,0,0,0,0
53,1762970018116,1,0,1,1,0,0,0,0
54,1762970018483,1,0,1,1,0,0,0,0
55,1762970019382,1,0,1,1,0,0,0,0
56,1762970019915,1,0,1,1,0,0,0,0
57,1762970020764,1,0,1,1,0,0,0,0
58,1762970021248,1,0,1,1,0,0,0,0
59,1762970021681,1,0,1,1,0,0,0,0
60,1762970022215,1,0,1,1,0,0,0,0
61,1762970023115,1,0,1,1,0,0,0,0
62,1762970024978,1,0,1,1,0,0,0,0
63,1762970025378,1,0,1,1,0,0,0,0
64,1762970025813,1,0,1,1,0,0,0,0
65,1762970026293,1,0,1,1,0,0,0,0
66,1762970026710,1,0,1,1,0,0,0,0
67,1762970027610,1,0,1,1,0,0,0,0
68,1762970028277,1,0,1,1,0,0,0,0
69,1762970029075,1,0,1,1,0,0,0,0
70,1762970029426,1,0,1,1,0,0,0,0
71,1762970029891,1,0,1,1,0,0,0,0
72,1762970030340,1,0,1,1,0,0,0,0
73,1762970030807,1,0,1,1,0,0,0,0
74,1762970031722,1,0,1,1,0,0,0,0
75,1762970032156,1,0,1,1,0,0,0,0
76,1762970032605,1,0,1,1,0,0,0,0
77,1762970033072,1,0,1,1,0,0,0,0
78,1762970034437,1,0,1,1,0,0,0,0
79,1762970034988,1,0,1,1,0,0,0,0
80,1762970035353,1,0,1,1,0,0,0,0
81,1762970035803,1,0,1,1,0,0,0,0
82,1762970036286,1,0,1,1,0,0,0,0
83,1762970036719,1,0,1,1,0,0,0,0
84,1762970037169,1,0,1,1,0,0,0,0
85,1762970037617,1,0,1,1,0,0,0,0
86,1762970038517,1,0,1,1,0,0,0,0
87,1762970039000,1,0,1,1,0,0,0,0
88,1762970039450,1,0,1,1,0,0,0,0
89,1762970039917,1,0,1,1,0,0,0,0
90,1762970040365,1,0,1,1,0,0,0,0
91,1762970040849,1,0,1,1,0,0,0,0
92,1762970041382,1,0,1,1,0,0,0,0
93,1762970041715,1,0,1,1,0,0,0,0
94,1762970042181,1,0,1,1,0,0,0,0
95,1762970042630,1,0,1,1,0,0,0,0
96,1762970043114,1,0,1,1,0,0,0,0
97,1762970043547,1,0,1,1,0,0,0,0
98,1762970044096,1,0,1,1,0,0,0,0
99,1762970044463,1,0,1,1,0,0,0,0
100,1762970046744,1,0,1,1,0,0,0,0
101,1762970047227,1,0,1,1,0,0,0,0
102,1762970047643,1,0,1,1,0,0,0,0
103,1762970048562,1,0,1,1,0,0,0,0
104,1762970049060,1,0,1,1,0,0,0,0
105,1762970049477,1,0,1,1,0,0,0,0
106,1762970050406,1,0,1,1,0,0,0,0
107,1762970050856,1,0,1,1,0,0,0,0
108,1762970051289,1,0,1,1,0,0,0,0
109,1762970051772,1,0,1,1,0,0,0,0
110,1762970052673,1,0,1,1,0,0,0,0
111,1762970053590,1,0,1,1,0,0,0,0
112,1762970054037,1,0,1,1,0,0,0,0
113,1762970054487,1,0,1,1,0,0,0,0
114,1762970055403,1,0,1,1,0,0,0,0
115,1762970055935,1,0,1,1,0,0,0,0
116,1762970057302,1,0,1,1,0,0,0,0
117,1762970057669,1,0,1,1,0,0,0,0
118,1762970058150,1,0,1,1,0,0,0,0
119,1762970059049,1,0,1,1,0,0,0,0
120,1762970059567,1,0,1,1,0,0,0,0
121,1762970059966,1,0,1,1,0,0,0,0
122,1762970060415,1,0,1,1,0,0,0,0
123,1762970060898,1,0,1,1,0,0,0,0
124,1762970061331,1,0,1,1,0,0,0,0
125,1762970061780,1,0,1,1,0,0,0,0
126,1762970062696,1,0,1,1,0,0,0,0
127,1762970063165,1,0,1,1,0,0,0,0
128,1762970063612,1,0,1,1,0,0,0,0
129,1762970064529,1,0,1,1,0,0,0,0
130,1762970064979,1,0,1,1,0,0,0,0
131,1762970067243,1,0,1,1,0,0,0,0
132,1762970068193,1,0,1,1,0,0,0,0
133,1762970069093,1,0,1,1,0,0,0,0
134,1762970069557,1,0,1,1,0,0,0,0
135,1762970070441,1,0,1,1,0,0,0,0
136,1762970070924,1,0,1,1,0,0,0,0
137,1762970071840,1,0,1,1,0,0,0,0
138,1762970072724,1,0,1,1,0,0,0,0
139,1762970073171,1,0,1,1,0,0,0,0
140,1762970073620,1,0,1,1,0,0,0,0
141,1762970074086,1,0,1,1,0,0,0,0
142,1762970074553,1,0,1,1,0,0,0,0
143,1762970075004,1,0,1,1,0,0,0,0
144,1762970075468,1,0,1,1,0,0,0,0
145,1762970076353,1,0,1,1,0,0,0,0
146,1762970076834,1,0,1,1,0,0,0,0
147,1762970077285,1,0,1,1,0,0,0,0
148,1762970077736,1,0,1,1,0,0,0,0
149,1762970078200,1,0,1,1,0,0,0,0
150,1762970078634,1,0,1,1,0,0,0,0
151,1762970079050,1,0,1,1,0,0,0,0
152,1762970079533,1,0,1,1,0,0,0,0
153,1762970080465,1,0,1,1,0,0,0,0
154,1762970080965,1,0,1,1,0,0,0,0
155,1762970081299,1,0,1,1,0,0,0,0
156,1762970081731,1,0,1,1,0,0,0,0
157,1762970082181,1,0,1,1,0,0,0,0
158,1762970082650,1,0,1,1,0,0,0,0
159,1762970084029,1,0,1,1,0,0,0,0
160,1762970084478,1,0,1,1,0,0,0,0
161,1762970085379,1,0,1,1,0,0,0,0
162,1762970085844,1,0,1,1,0,0,0,0
163,1762970087210,1,0,1,1,0,0,0,0
164,1762970087661,1,0,1,1,0,0,0,0
165,1762970089510,1,0,1,1,0,0,0,0
166,1762970089974,1,0,1,1,0,0,0,0
167,1762970090408,1,0,1,1,0,0,0,0
168,1762970090907,1,0,1,1,0,0,0,0
169,1762970091805,1,0,1,1,0,0,0,0
170,1762970092222,1,0,1,1,0,0,0,0
171,1762970092689,1,0,1,1,0,0,0,0
172,1762970093154,1,0,1,1,0,0,0,0
173,1762970093604,1,0,1,1,0,0,0,0
174,1762970094053,1,0,1,1,0,0,0,0
175,1762970094503,1,0,1,1,0,0,0,0
176,1762970094987,1,0,1,1,0,0,0,0
177,1762970095419,1,0,1,1,0,0,0,0
178,1762970095920,1,0,1,1,0,0,0,0
179,1762970097244,1,0,1,1,0,0,0,0
180,1762970097703,1,0,1,1,0,0,0,0
181,1762970098135,1,0,1,1,0,0,0,0
182,1762970098599,1,0,1,1,0,0,0,0
183,1762970099067,1,0,1,1,0,0,0,0
184,1762970099534,1,0,1,1,0,0,0,0
185,1762970100434,1,0,1,1,0,0,0,0
186,1762970100883,1,0,1,1,0,0,0,0
187,1762970101333,1,0,1,1,0,0,0,0
188,1762970101799,1,0,1,1,0,0,0,0
189,1762970102249,1,0,1,1,0,0,0,0
190,1762970103630,1,0,1,1,0,0,0,0
191,1762970104063,1,0,1,1,0,0,0,0
192,1762970104529,1,0,1,1,0,0,0,0
193,1762970104995,1,0,1,1,0,0,0,0
194,1762970105446,1,0,1,1,0,0,0,0
195,1762970105944,1,0,1,1,0,0,0,0
196,1762970106361,1,0,1,1,0,0,0,0
197,1762970110441,1,0,1,1,0,0,0,0
198,1762970110906,1,0,1,1,0,0,0,0
199,1762970111373,1,0,1,1,0,0,0,0
200,1762970111871,1,0,1,1,0,0,0,0
201,1762970112322,1,0,1,1,0,0,0,0
202,1762970113654,1,0,1,1,0,0,0,0
203,1762970114087,1,0,1,1,0,0,0,0
204,1762970114553,1,0,1,1,0,0,0,0
205,1762970115036,1,0,1,1,0,0,0,0
206,1762970116385,1,0,1,1,0,0,0,0
207,1762970116868,1,0,1,1,0,0,0,0
208,1762970117301,1,0,1,1,0,0,0,0
209,1762970117751,1,0,1,1,0,0,0,0
210,1762970118217,1,0,1,1,0,0,0,0
211,1762970119135,1,0,1,1,0,0,0,0
212,1762970119583,1,0,1,1,0,0,0,0
213,1762970120016,1,0,1,1,0,0,0,0
214,1762970120482,1,0,1,1,0,0,0,0
215,1762970121031,1,0,1,1,0,0,0,0
216,1762970121397,1,0,1,1,0,0,0,0
217,1762970121915,1,0,1,1,0,0,0,0
218,1762970122763,1,0,1,1,0,0,0,0
219,1762970123213,1,0,1,1,0,0,0,0
220,1762970123663,1,0,1,1,0,0,0,0
221,1762970124131,1,0,1,1,0,0,0,0
222,1762970124595,1,0,1,1,0,0,0,0
223,1762970125047,1,0,1,1,0,0,0,0
224,1762970125978,1,0,1,1,0,0,0,0
225,1762970126411,1,0,1,1,0,0,0,0
226,1762970126877,1,0,1,1,0,0,0,0
227,1762970127325,1,0,1,1,0,0,0,0
228,1762970128242,1,0,1,1,0,0,0,0
229,1762970128691,1,0,1,1,0,0,0,0
230,1762970129142,1,0,1,1,0,0,0,0
231,1762970130041,1,0,1,1,0,0,0,0
232,1762970131007,1,0,1,1,0,0,0,0
233,1762970131889,1,0,1,1,0,0,0,0
234,1762970132339,1,0,1,1,0,0,0,0
235,1762970132805,1,0,1,1,0,0,0,0
236,1762970133238,1,0,1,1,0,0,0,0
237,1762970133688,1,0,1,1,0,0,0,0
238,1762970134104,1,0,0,0,0,0,0,0
239,1762970134671,1,0,0,0,0,0,0,0
240,1762970135020,1,0,0,0,0,0,0,0
241,1762970135487,1,0,0,0,0,0,0,0
242,1762970136985,1,0,0,0,0,0,0,0
243,1762970137302,1,0,0,0,0,0,0,0
244,1762970137784,1,0,0,0,0,0,0,0
245,1762970138218,1,0,0,0,0,0,0,0
246,1762970138683,1,0,0,0,0,0,0,0
247,1762970139150,1,0,0,0,0,0,0,0
248,1762970139598,1,0,0,0,0,0,0,0
249,1762970140064,1,0,0,0,0,0,0,0
250,1762970140499,1,0,0,0,0,0,0,0
251,1762970140964,1,0,0,0,0,0,0,0
252,1762970141413,1,0,0,0,0,0,0,0
253,1762970142013,1,0,0,0,0,0,0,0
254,1762970142330,1,0,0,0,0,0,0,0
255,1762970142863,1,0,0,0,0,0,0,0
256,1762970143229,1,0,0,0,0,0,0,0
257,1762970143778,1,0,0,0,0,0,0,0
258,1762970144145,1,0,0,0,0,0,0,0
259,1762970144594,1,0,0,0,0,0,0,0
260,1762970149009,1,0,0,0,0,0,0,0
261,1762970149425,1,0,0,0,0,0,0,0
262,1762970149941,1,0,0,0,0,0,0,0
263,1762970150323,1,0,0,0,0,0,0,0
264,1762970150790,1,0,0,0,0,0,0,0
265,1762970151257,1,0,0,0,0,0,0,0
266,1762970151723,1,0,0,0,0,0,0,0
267,1762970152172,1,0,0,0,0,0,0,0
268,1762970152640,1,0,0,0,0,0,0,0
269,1762970153089,1,0,0,0,0,0,0,0
270,1762970153537,1,0,0,0,0,0,0,0
271,1762970153987,1,0,0,0,0,0,0,0
272,1762970154437,1,0,0,0,0,0,0,0
273,1762970154920,1,0,0,0,0,0,0,0
274,1762970155354,1,0,0,0,0,0,0,0
275,1762970155819,1,0,0,0,0,0,0,0
276,1762970156252,1,0,0,0,0,0,0,0
277,1762970156701,1,0,0,0,0,0,0,0
278,1762970157168,1,0,0,0,0,0,0,0
279,1762970158083,1,0,0,0,0,0,0,0
280,1762970159450,1,0,0,0,0,0,0,0
281,1762970159949,1,0,0,0,0,0,0,0
282,1762970160349,1,0,0,0,0,0,0,0
283,1762970160864,1,0,0,0,0,0,0,0
284,1762970161283,1,0,0,0,0,0,0,0
285,1762970161766,1,0,0,0,0,0,0,0
286,1762970162633,1,0,0,0,0,0,0,0
287,1762970163130,1,0,0,0,0,0,0,0
288,1762970163579,1,0,0,0,0,0,0,0
289,1762970164013,1,0,0,0,0,0,0,0
290,1762970164461,1,0,0,0,0,0,0,0
291,1762970164945,1,0,0,0,0,0,0,0
292,1762970165378,1,0,0,0,0,0,0,0
293,1762970165843,1,0,0,0,0,0,0,0
294,1762970166276,1,0,0,0,0,0,0,0
295,1762970166777,1,0,0,0,0,0,0,0
296,1762970167195,1,0,0,0,0,0,0,0
297,1762970167810,1,0,0,0,0,0,0,0
298,1762970168143,1,0,0,0,0,0,0,0
299,1762970168559,1,0,0,0,0,0,0,0
300,1762970169525,1,0,0,0,0,0,0,0
301,1762970170375,1,0,0,0,0,0,0,0
302,1762970170841,1,0,0,0,0,0,0,0
303,1762970171774,1,0,0,0,0,0,0,0
304,1762970172222,1,0,0,0,0,0,0,0
305,1762970172690,1,0,0,0,0,0,0,0
306,1762970173122,1,0,0,0,0,0,0,0
307,1762970173573,1,0,0,0,0,0,0,0
308,1762970174036,1,0,0,0,0,0,0,0
309,1762970174486,1,0,0,0,0,0,0,0
310,1762970174986,1,0,0,0,0,0,0,0
311,1762970175402,1,0,0,0,0,0,0,0
312,1762970175852,1,0,0,0,0,0,0,0
313,1762970176302,1,0,0,0,0,0,0,0
314,1762970176767,1,0,0,0,0,0,0,0
315,1762970177734,1,0,0,0,0,0,0,0
316,1762970178152,1,0,0,0,0,0,0,0
317,1762970192687,1,0,0,0,0,0,0,0
318,1762970193136,1,0,0,0,0,0,0,0
319,1762970193605,1,0,0,0,0,0,0,0
